benchmark,suite,model,cell,method,preset,scope,seed,checkpoint,episodes,successes,success_rate,ci_low,ci_high,mean_subtasks,mean_progress
libero,libero_10,pi05,ablate-W4A4-ah-attn_adarms,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,0,0.0,0.0,1.88,,
libero,libero_10,pi05,ablate-W4A4-ah-only_down,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,113,56.5,49.57,63.18,,
libero,libero_10,pi05,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi05_libero_finetuned_v044,200,190,95.0,91.04,97.26,,
libero,libero_10,pi05,rtn-W3-e2e,rtn,W3,e2e,0,lerobot/pi05_libero_finetuned_v044,200,189,94.5,90.42,96.9,,
libero,libero_10,pi05,rtn-W4-e2e,rtn,W4,e2e,0,lerobot/pi05_libero_finetuned_v044,200,188,94.0,89.81,96.53,,
libero,libero_10,pi05,rtn-W4A4-ah,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,37,18.5,13.73,24.46,,
libero,libero_10,pi05,rtn-W4A4-e2e,rtn,W4A4,e2e,0,lerobot/pi05_libero_finetuned_v044,200,0,0.0,0.0,1.88,,
libero,libero_10,pi05,rtn-W4A8-e2e,rtn,W4A8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,193,96.5,92.95,98.29,,
libero,libero_10,pi05,rtn-W8-e2e,rtn,W8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,193,96.5,92.95,98.29,,
libero,libero_10,pi05,rtn-W8A8-e2e,rtn,W8A8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,187,93.5,89.2,96.16,,
libero,libero_10,xvla,ablate-W4A4-ah-only_attn,rtn,W4A4,ah,0,2toINF/X-VLA-Libero,190,0,0.0,0.0,1.98,,
libero,libero_10,xvla,ablate-W4A4-ah-onlymlp,rtn,W4A4,ah,0,2toINF/X-VLA-Libero,190,0,0.0,0.0,1.98,,
libero,libero_10,xvla,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,2toINF/X-VLA-Libero,190,186,97.89,94.71,99.18,,
libero,libero_10,xvla,rtn-W3-e2e,rtn,W3,e2e,0,2toINF/X-VLA-Libero,190,180,94.74,90.58,97.12,,
libero,libero_10,xvla,rtn-W4-e2e,rtn,W4,e2e,0,2toINF/X-VLA-Libero,190,182,95.79,91.91,97.85,,
libero,libero_10,xvla,rtn-W4A4-ah,rtn,W4A4,ah,0,2toINF/X-VLA-Libero,190,0,0.0,0.0,1.98,,
libero,libero_10,xvla,rtn-W4A4-e2e,rtn,W4A4,e2e,0,2toINF/X-VLA-Libero,190,0,0.0,0.0,1.98,,
libero,libero_10,xvla,rtn-W4A8-e2e,rtn,W4A8,e2e,0,2toINF/X-VLA-Libero,190,184,96.84,93.28,98.54,,
libero,libero_10,xvla,rtn-W8-e2e,rtn,W8,e2e,0,2toINF/X-VLA-Libero,190,185,97.37,93.99,98.87,,
libero,libero_10,xvla,rtn-W8A8-e2e,rtn,W8A8,e2e,0,2toINF/X-VLA-Libero,190,187,98.42,95.46,99.46,,
libero,libero_goal,openvla_oft,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,192,96.0,92.31,97.96,,
libero,libero_goal,openvla_oft,rtn-W3-e2e,rtn,W3,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,143,71.5,64.88,77.31,,
libero,libero_goal,openvla_oft,rtn-W4-e2e,rtn,W4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,164,82.0,76.09,86.71,,
libero,libero_goal,openvla_oft,rtn-W4A4-e2e,rtn,W4A4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,0,0.0,0.0,1.88,,
libero,libero_goal,openvla_oft,rtn-W4A8-e2e,rtn,W4A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,4,2.0,0.78,5.03,,
libero,libero_goal,openvla_oft,rtn-W8-e2e,rtn,W8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,195,97.5,94.28,98.93,,
libero,libero_goal,openvla_oft,rtn-W8A8-e2e,rtn,W8A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-goal,200,26,13.0,9.03,18.37,,
libero,libero_goal,pi0,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi0_libero_finetuned_v044,200,169,84.5,78.84,88.86,,
libero,libero_goal,pi0,rtn-W3-e2e,rtn,W3,e2e,0,lerobot/pi0_libero_finetuned_v044,200,129,64.5,57.65,70.8,,
libero,libero_goal,pi0,rtn-W4-e2e,rtn,W4,e2e,0,lerobot/pi0_libero_finetuned_v044,200,158,79.0,72.84,84.07,,
libero,libero_goal,pi0,rtn-W4A4-e2e,rtn,W4A4,e2e,0,lerobot/pi0_libero_finetuned_v044,200,116,58.0,51.07,64.63,,
libero,libero_goal,pi0,rtn-W4A8-e2e,rtn,W4A8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,158,79.0,72.84,84.07,,
libero,libero_goal,pi0,rtn-W8-e2e,rtn,W8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,166,83.0,77.18,87.57,,
libero,libero_goal,pi0,rtn-W8A8-e2e,rtn,W8A8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,162,81.0,75.0,85.83,,
libero,libero_goal,pi05,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi05_libero_finetuned_v044,200,188,94.0,89.81,96.53,,
libero,libero_goal,pi05,rtn-W3-e2e,rtn,W3,e2e,0,lerobot/pi05_libero_finetuned_v044,200,191,95.5,91.67,97.61,,
libero,libero_goal,pi05,rtn-W4-e2e,rtn,W4,e2e,0,lerobot/pi05_libero_finetuned_v044,200,193,96.5,92.95,98.29,,
libero,libero_goal,pi05,rtn-W4A4-e2e,rtn,W4A4,e2e,0,lerobot/pi05_libero_finetuned_v044,200,0,0.0,0.0,1.88,,
libero,libero_goal,pi05,rtn-W4A8-e2e,rtn,W4A8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,193,96.5,92.95,98.29,,
libero,libero_goal,pi05,rtn-W8-e2e,rtn,W8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,192,96.0,92.31,97.96,,
libero,libero_goal,pi05,rtn-W8A8-e2e,rtn,W8A8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,194,97.0,93.61,98.62,,
libero,libero_goal,xvla,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,2toINF/X-VLA-Libero,190,185,97.37,93.99,98.87,,
libero,libero_goal,xvla,rtn-W3-e2e,rtn,W3,e2e,0,2toINF/X-VLA-Libero,190,185,97.37,93.99,98.87,,
libero,libero_goal,xvla,rtn-W4-e2e,rtn,W4,e2e,0,2toINF/X-VLA-Libero,190,184,96.84,93.28,98.54,,
libero,libero_goal,xvla,rtn-W4A4-e2e,rtn,W4A4,e2e,0,2toINF/X-VLA-Libero,190,0,0.0,0.0,1.98,,
libero,libero_goal,xvla,rtn-W4A8-e2e,rtn,W4A8,e2e,0,2toINF/X-VLA-Libero,190,186,97.89,94.71,99.18,,
libero,libero_goal,xvla,rtn-W8-e2e,rtn,W8,e2e,0,2toINF/X-VLA-Libero,190,183,96.32,92.59,98.2,,
libero,libero_goal,xvla,rtn-W8A8-e2e,rtn,W8A8,e2e,0,2toINF/X-VLA-Libero,190,183,96.32,92.59,98.2,,
libero,libero_object,openvla_oft,ablate-W4A8-ah-only_fc2,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-object,200,3,1.5,0.51,4.32,,
libero,libero_object,openvla_oft,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,195,97.5,94.28,98.93,,
libero,libero_object,openvla_oft,rtn-W3-e2e,rtn,W3,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,149,74.5,68.04,80.04,,
libero,libero_object,openvla_oft,rtn-W4-e2e,rtn,W4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,187,93.5,89.2,96.16,,
libero,libero_object,openvla_oft,rtn-W4A4-e2e,rtn,W4A4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,0,0.0,0.0,1.88,,
libero,libero_object,openvla_oft,rtn-W4A8-ah,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-object,200,6,3.0,1.38,6.39,,
libero,libero_object,openvla_oft,rtn-W4A8-e2e,rtn,W4A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,5,2.5,1.07,5.72,,
libero,libero_object,openvla_oft,rtn-W8-e2e,rtn,W8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,196,98.0,94.97,99.22,,
libero,libero_object,openvla_oft,rtn-W8A8-e2e,rtn,W8A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-object,200,5,2.5,1.07,5.72,,
libero,libero_object,pi0,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi0_libero_finetuned_v044,200,175,87.5,82.2,91.39,,
libero,libero_object,pi0,rtn-W3-e2e,rtn,W3,e2e,0,lerobot/pi0_libero_finetuned_v044,200,152,76.0,69.63,81.39,,
libero,libero_object,pi0,rtn-W4-e2e,rtn,W4,e2e,0,lerobot/pi0_libero_finetuned_v044,200,181,90.5,85.64,93.83,,
libero,libero_object,pi0,rtn-W4A4-ah,rtn,W4A4,ah,0,lerobot/pi0_libero_finetuned_v044,200,149,74.5,68.04,80.04,,
libero,libero_object,pi0,rtn-W4A4-e2e,rtn,W4A4,e2e,0,lerobot/pi0_libero_finetuned_v044,200,148,74.0,67.51,79.59,,
libero,libero_object,pi0,rtn-W4A8-e2e,rtn,W4A8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,177,88.5,83.34,92.21,,
libero,libero_object,pi0,rtn-W8-e2e,rtn,W8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,173,86.5,81.07,90.55,,
libero,libero_object,pi0,rtn-W8A8-e2e,rtn,W8A8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,177,88.5,83.34,92.21,,
libero,libero_object,pi05,ablate-W4A4-ah-attn_adarms,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,4,2.0,0.78,5.03,,
libero,libero_object,pi05,ablate-W4A4-ah-down_attn_adarms,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,2,1.0,0.27,3.57,,
libero,libero_object,pi05,ablate-W4A4-ah-only_down,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,164,82.0,76.09,86.71,,
libero,libero_object,pi05,ablate-W4A4-ah-onlyadarms,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,190,95.0,91.04,97.26,,
libero,libero_object,pi05,ablate-W4A4-ah-onlyself_attn,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,197,98.5,95.68,99.49,,
libero,libero_object,pi05,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi05_libero_finetuned_v044,200,198,99.0,96.43,99.73,,
libero,libero_object,pi05,rtn-W3-e2e,rtn,W3,e2e,0,lerobot/pi05_libero_finetuned_v044,200,200,100.0,98.12,100.0,,
libero,libero_object,pi05,rtn-W4-e2e,rtn,W4,e2e,0,lerobot/pi05_libero_finetuned_v044,200,198,99.0,96.43,99.73,,
libero,libero_object,pi05,rtn-W4A4-ah,rtn,W4A4,ah,0,lerobot/pi05_libero_finetuned_v044,200,120,60.0,53.08,66.54,,
libero,libero_object,pi05,rtn-W4A4-e2e,rtn,W4A4,e2e,0,lerobot/pi05_libero_finetuned_v044,200,0,0.0,0.0,1.88,,
libero,libero_object,pi05,rtn-W4A8-e2e,rtn,W4A8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,200,100.0,98.12,100.0,,
libero,libero_object,pi05,rtn-W8-e2e,rtn,W8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,198,99.0,96.43,99.73,,
libero,libero_object,pi05,rtn-W8A8-e2e,rtn,W8A8,e2e,0,lerobot/pi05_libero_finetuned_v044,200,198,99.0,96.43,99.73,,
libero,libero_object,pi05,seed1-ablate-W4A4-ah-attn_adarms,rtn,W4A4,ah,1,lerobot/pi05_libero_finetuned_v044,200,4,2.0,0.78,5.03,,
libero,libero_object,pi05,seed1-ablate-W4A4-ah-down_attn_adarms,rtn,W4A4,ah,1,lerobot/pi05_libero_finetuned_v044,200,0,0.0,0.0,1.88,,
libero,libero_object,pi05,seed1-ablate-W4A4-ah-onlyadarms,rtn,W4A4,ah,1,lerobot/pi05_libero_finetuned_v044,200,192,96.0,92.31,97.96,,
libero,libero_object,pi05,seed1-ablate-W4A4-ah-onlyself_attn,rtn,W4A4,ah,1,lerobot/pi05_libero_finetuned_v044,200,197,98.5,95.68,99.49,,
libero,libero_object,pi05,seed1-rtn-BASELINE-e2e,rtn,BASELINE,e2e,1,lerobot/pi05_libero_finetuned_v044,200,197,98.5,95.68,99.49,,
libero,libero_object,pi05,seed1-rtn-W4A4-ah,rtn,W4A4,ah,1,lerobot/pi05_libero_finetuned_v044,200,126,63.0,56.12,69.39,,
libero,libero_object,pi05,seed2-ablate-W4A4-ah-attn_adarms,rtn,W4A4,ah,2,lerobot/pi05_libero_finetuned_v044,200,5,2.5,1.07,5.72,,
libero,libero_object,pi05,seed2-ablate-W4A4-ah-down_attn_adarms,rtn,W4A4,ah,2,lerobot/pi05_libero_finetuned_v044,200,4,2.0,0.78,5.03,,
libero,libero_object,pi05,seed2-ablate-W4A4-ah-onlyadarms,rtn,W4A4,ah,2,lerobot/pi05_libero_finetuned_v044,200,194,97.0,93.61,98.62,,
libero,libero_object,pi05,seed2-ablate-W4A4-ah-onlyself_attn,rtn,W4A4,ah,2,lerobot/pi05_libero_finetuned_v044,200,195,97.5,94.28,98.93,,
libero,libero_object,pi05,seed2-rtn-BASELINE-e2e,rtn,BASELINE,e2e,2,lerobot/pi05_libero_finetuned_v044,200,199,99.5,97.22,99.91,,
libero,libero_object,pi05,seed2-rtn-W4A4-ah,rtn,W4A4,ah,2,lerobot/pi05_libero_finetuned_v044,200,122,61.0,54.09,67.49,,
libero,libero_object,xvla,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,2toINF/X-VLA-Libero,190,186,97.89,94.71,99.18,,
libero,libero_object,xvla,rtn-W3-e2e,rtn,W3,e2e,0,2toINF/X-VLA-Libero,190,184,96.84,93.28,98.54,,
libero,libero_object,xvla,rtn-W4-e2e,rtn,W4,e2e,0,2toINF/X-VLA-Libero,190,186,97.89,94.71,99.18,,
libero,libero_object,xvla,rtn-W4A4-e2e,rtn,W4A4,e2e,0,2toINF/X-VLA-Libero,190,0,0.0,0.0,1.98,,
libero,libero_object,xvla,rtn-W4A8-e2e,rtn,W4A8,e2e,0,2toINF/X-VLA-Libero,190,187,98.42,95.46,99.46,,
libero,libero_object,xvla,rtn-W8-e2e,rtn,W8,e2e,0,2toINF/X-VLA-Libero,190,186,97.89,94.71,99.18,,
libero,libero_object,xvla,rtn-W8A8-e2e,rtn,W8A8,e2e,0,2toINF/X-VLA-Libero,190,186,97.89,94.71,99.18,,
libero,libero_spatial,openvla_oft,ablate-W4A6-ah-only_fc2,rtn,W4A6,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,29,14.5,10.29,20.05,,
libero,libero_spatial,openvla_oft,ablate-W4A8-ah-fc1_fc2,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,39,19.5,14.61,25.54,,
libero,libero_spatial,openvla_oft,ablate-W4A8-ah-only_blocks,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,199,99.5,97.22,99.91,,
libero,libero_spatial,openvla_oft,ablate-W4A8-ah-only_fc1,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,198,99.0,96.43,99.73,,
libero,libero_spatial,openvla_oft,ablate-W4A8-ah-only_fc2,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,36,18.0,13.29,23.91,,
libero,libero_spatial,openvla_oft,ablate-W8A8-ah-only_fc2,rtn,W8A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,82,41.0,34.42,47.92,,
libero,libero_spatial,openvla_oft,awq-W3-llm,awq,W3,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,197,98.5,95.68,99.49,,
libero,libero_spatial,openvla_oft,awq-W4-llm,awq,W4,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,198,99.0,96.43,99.73,,
libero,libero_spatial,openvla_oft,calib-W4A6-e2e,rtn,W4A6,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,143,71.5,64.88,77.31,,
libero,libero_spatial,openvla_oft,int8-W8-llm,int8,W8,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,197,98.5,95.68,99.49,,
libero,libero_spatial,openvla_oft,nf4-W4-llm,nf4,W4,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,196,98.0,94.97,99.22,,
libero,libero_spatial,openvla_oft,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,200,100.0,98.12,100.0,,
libero,libero_spatial,openvla_oft,rtn-W2-ah,rtn,W2,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,0,0.0,0.0,1.88,,
libero,libero_spatial,openvla_oft,rtn-W2-llm,rtn,W2,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,20,10.0,6.57,14.94,,
libero,libero_spatial,openvla_oft,rtn-W2-ve,rtn,W2,ve,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,162,81.0,75.0,85.83,,
libero,libero_spatial,openvla_oft,rtn-W3-ah,rtn,W3,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,169,84.5,78.84,88.86,,
libero,libero_spatial,openvla_oft,rtn-W3-e2e,rtn,W3,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,156,78.0,71.76,83.18,,
libero,libero_spatial,openvla_oft,rtn-W3-llm,rtn,W3,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,200,100.0,98.12,100.0,,
libero,libero_spatial,openvla_oft,rtn-W3-ve,rtn,W3,ve,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,199,99.5,97.22,99.91,,
libero,libero_spatial,openvla_oft,rtn-W4-ah-anchor,rtn,W4,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,194,97.0,93.61,98.62,,
libero,libero_spatial,openvla_oft,rtn-W4-ah,rtn,W4,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,194,97.0,93.61,98.62,,
libero,libero_spatial,openvla_oft,rtn-W4-e2e,rtn,W4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,192,96.0,92.31,97.96,,
libero,libero_spatial,openvla_oft,rtn-W4-llm,rtn,W4,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,196,98.0,94.97,99.22,,
libero,libero_spatial,openvla_oft,rtn-W4-ve,rtn,W4,ve,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,199,99.5,97.22,99.91,,
libero,libero_spatial,openvla_oft,rtn-W4A4-ah,rtn,W4A4,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,0,0.0,0.0,1.88,,
libero,libero_spatial,openvla_oft,rtn-W4A4-e2e,rtn,W4A4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,0,0.0,0.0,1.88,,
libero,libero_spatial,openvla_oft,rtn-W4A4-llm,rtn,W4A4,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,0,0.0,0.0,1.88,,
libero,libero_spatial,openvla_oft,rtn-W4A4-ve,rtn,W4A4,ve,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,0,0.0,0.0,1.88,,
libero,libero_spatial,openvla_oft,rtn-W4A6-ah,rtn,W4A6,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,34,17.0,12.43,22.82,,
libero,libero_spatial,openvla_oft,rtn-W4A6-e2e,rtn,W4A6,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,47,23.5,18.16,29.84,,
libero,libero_spatial,openvla_oft,rtn-W4A6-llm,rtn,W4A6,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,196,98.0,94.97,99.22,,
libero,libero_spatial,openvla_oft,rtn-W4A6-ve,rtn,W4A6,ve,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,199,99.5,97.22,99.91,,
libero,libero_spatial,openvla_oft,rtn-W4A8-ah,rtn,W4A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,41,20.5,15.49,26.63,,
libero,libero_spatial,openvla_oft,rtn-W4A8-e2e,rtn,W4A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,43,21.5,16.37,27.7,,
libero,libero_spatial,openvla_oft,rtn-W4A8-llm,rtn,W4A8,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,197,98.5,95.68,99.49,,
libero,libero_spatial,openvla_oft,rtn-W4A8-ve,rtn,W4A8,ve,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,198,99.0,96.43,99.73,,
libero,libero_spatial,openvla_oft,rtn-W8-e2e,rtn,W8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,199,99.5,97.22,99.91,,
libero,libero_spatial,openvla_oft,rtn-W8-llm,rtn,W8,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,198,99.0,96.43,99.73,,
libero,libero_spatial,openvla_oft,rtn-W8A8-ah,rtn,W8A8,ah,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,70,35.0,28.73,41.84,,
libero,libero_spatial,openvla_oft,rtn-W8A8-e2e,rtn,W8A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,72,36.0,29.67,42.86,,
libero,libero_spatial,openvla_oft,rtn-W8A8-llm,rtn,W8A8,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,200,100.0,98.12,100.0,,
libero,libero_spatial,openvla_oft,seed1-ablate-W4A8-ah-only_fc2,rtn,W4A8,ah,1,moojink/openvla-7b-oft-finetuned-libero-spatial,200,34,17.0,12.43,22.82,,
libero,libero_spatial,openvla_oft,smoothquant-W8A8-llm,smoothquant,W8A8,llm,0,moojink/openvla-7b-oft-finetuned-libero-spatial,200,198,99.0,96.43,99.73,,
libero,libero_spatial,pi0,ablate-W4A4-ah-only_action_out,rtn,W4A4,ah,0,lerobot/pi0_libero_finetuned_v044,200,144,72.0,65.41,77.76,,
libero,libero_spatial,pi0,ablate-W4A4-ah-only_down,rtn,W4A4,ah,0,lerobot/pi0_libero_finetuned_v044,200,156,78.0,71.76,83.18,,
libero,libero_spatial,pi0,ablate-W4A4-ah-onlymlp,rtn,W4A4,ah,0,lerobot/pi0_libero_finetuned_v044,200,155,77.5,71.23,82.74,,
libero,libero_spatial,pi0,ablate-W4A4-ah-onlyself_attn,rtn,W4A4,ah,0,lerobot/pi0_libero_finetuned_v044,200,137,68.5,61.76,74.54,,
libero,libero_spatial,pi0,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi0_libero_finetuned_v044,200,156,78.0,71.76,83.18,,
libero,libero_spatial,pi0,rtn-W2-ah,rtn,W2,ah,0,lerobot/pi0_libero_finetuned_v044,200,9,4.5,2.39,8.33,,
